bp_rp,g_rp
2.0646763,1.2362309
1.8993721,3.4852486
1.6541023,2.697668
1.9181328,0.98431206
1.1294374,0.6508446
2.156067,1.1547356
1.3240299,0.77495193
1.2316723,0.68094635
1.907402,3.3959217
1.7370796,1.1145744
1.1798801,0.67233086
1.1816702,0.6763439
1.2323837,0.7011223
1.8866444,0.9482403
1.7671051,0.91828346
1.1056023,0.7982807
1.7366009,0.8183098
1.4310703,0.8063545
0.9329834,0.48638535
1.265255,0.7107811
1.195652,0.6820545
0.807621,0.94605446
1.0915565,0.64429665
1.1553707,0.61808395
1.2488708,0.68774414
2.18573,3.1688423
2.2206783,1.3699379
1.1993713,0.6702194
1.1632805,0.758585
1.6734982,0.8886795
0.2373085,0.71175194
1.1862297,0.6502228
1.4049664,0.758749
1.7271404,1.0320473
1.7006435,0.90870667
1.9411507,1.439312
1.5145836,0.8235645
1.4210529,0.706789
2.097887,1.1300964
2.4065952,1.1288185
0.9118538,0.7346153
1.1747189,0.718359
1.2394943,0.7238083
1.070612,0.5852413
1.2815609,0.7227831
1.1593113,0.6615505
1.2735453,0.7168913
1.1650171,0.6689787
0.95500374,0.5629482
1.8966599,0.93574905
2.7247086,1.406086
1.2692623,0.73461914
1.7378998,0.98119736
1.1234913,0.6225853
1.5185986,0.6722927
1.1324635,0.73054314
1.9082298,3.4068527
0.6908169,0.98308563
1.2401848,0.96628
1.0990486,0.63873196
1.9149837,0.95896435
1.1983795,0.711977
1.9149818,5.1138783
0.958519,0.2358303
1.2409573,0.69979477
1.6216164,2.493847
2.5388203,1.1815853
1.1901903,0.6869154
1.2454224,0.6987686
1.1937027,0.6605358
1.312809,0.63586044
1.1021557,0.9837856
1.5643005,0.8274212
,
1.425148,0.7655678
1.3299465,0.62293243
1.8983593,1.1707878
2.0739498,1.0893536
1.6930199,1.2477665
1.83601,0.93273926
1.436491,0.7771435
1.8435116,0.84003067
1.0612545,0.6220808
1.1054678,0.6377344
2.329153,1.1786613
1.5311031,3.4436817
1.0970345,0.6695461
1.9838085,0.9164257
1.7707558,2.9663067
1.1099911,0.65784454
1.1200008,0.6552849
1.7949238,0.98028946
1.0764561,0.7498188
1.1027584,0.65777206
1.1948547,0.8211689
1.1592407,0.6619892
1.3791466,0.7303791
2.1461678,1.0146351
1.7533436,0.8604603
1.6793747,1.6896172
1.0589142,0.6174412
1.5708103,1.5626717
1.2362461,0.7399349
2.1988049,1.0825615
2.15728,1.1367779
,
1.2618389,0.66983414
2.1871986,1.2723827
1.9420681,2.902422
1.5897503,0.9460621
1.7404461,1.428339
1.1238079,0.64125824
1.6206741,0.92272377
1.6677322,0.93463135
1.4643497,0.86773777
2.365261,1.1390133
,
1.381506,0.7865429
1.2741203,0.76787186
1.7376175,1.5788841
1.4572678,0.79174614
1.7772636,1.2330093
